battery_sn,data_date,q,dischar_sum,soh_bms,soh_v1,cal_soh_v2,is_abnormal,vol_diff,soc_diff,battery_type,soh_fit,health_level,group_size,cal_soh_v2_rank,remaining_km
0PFBBDBVA006,20250612,460,228644.7,98.0,,,,,,,,,,,
0PFBBDBXA010,20250612,460,285621.8,96.0,,,,,,,,,,,
0PFBBDBYA036,20250612,460,270009.3,97.0,,,,,,,,,,,
0PFBBDC7A024,20250612,460,157882.6,98.0,,,,,,,,,,,
0PFBBDC7A029,20250612,460,60903.0,99.0,,,,,,,,,,,
0PFBBDCBA011,20250612,460,198422.3,98.0,,,,,,,,,,,
0PFBBDCBA013,20250612,460,,,,,,,,,,,,,
0PFBBDCCA021,20250612,460,192267.2,98.0,91.46,,,,,,,,,,
0PFBBDCGA034,20250612,460,126537.2,98.0,92.64,,,,,,,,,,
0PFBBDCMA013,20250612,460,304180.2,96.0,88.43,,,,,,,,,,
0PFBBDCNA002,20250612,460,223883.6,98.0,,,,,,,,,,,
0PFBBDCNA020,20250612,460,237270.8,97.0,90.27,,,,,,,,,,
0PFBBDCNA022,20250612,460,242270.3,97.0,,,,,,,,,,,
0PFBBDCNA025,20250612,460,226773.8,98.0,87.86,,,,,,,,,,
0PFBBDCNA038,20250612,460,219577.7,98.0,,,,,,,,,,,
0PFBBDCVA010,20250612,460,115490.9,98.0,93.44,,,,,,,,,,
0PFPBDCEA062,20250612,460,244743.9,91.0,89.14,,,,,,,,,,
0PFPBDCEA064,20250612,460,238530.5,91.0,90.52,,,,,,,,,,
0PFPBDCEA069,20250612,460,273774.5,90.0,,,,,,,,,,,
0PFPBDCEA071,20250612,460,231299.7,98.0,90.6,,,,,,,,,,
0PFPBDCEA072,20250612,460,250924.5,92.0,91.7,,,,,,,,,,
0PFPBE13A006,20250612,460,257354.7,97.0,90.49,,,,,,,,,,
0PFPBE19A008,20250612,460,231796.6,98.0,,,,,,,,,,,
0PFPBE2SA004,20250612,460,117351.6,98.0,93.12,,,,,,,,,,
0PFPBE31A020,20250612,460,55498.8,99.0,,,,,,,,,,,
0PFPBE38A026,20250612,460,130403.4,98.0,,,,,,,,,,,
0PFPBE3CA002,20250612,460,127527.4,98.0,,,,,,,,,,,
0PFPBE3CA004,20250612,460,190076.1,98.0,91.37,,,,,,,,,,
0PFPBE3CA005,20250612,460,193763.4,98.0,,,,,,,,,,,
0PFPBE4EA002,20250612,460,185940.5,98.0,93.88,,,,,,,,,,
0PFPBE73A032,20250612,460,49707.3,99.0,,,,,,,,,,,
0PFPBE9TA002,20250612,460,86306.1,98.0,92.15,,,,,,,,,,
0PFBBD9CA001,20250613,460,138087.7,98.0,92.93,,,,,,,,,,
0PFBBD9HA002,20250613,460,125706.5,93.0,,,,,,,,,,,
0PFBBD9NA006,20250613,460,241608.3,91.0,,,,,,,,,,,
0PFBBD9SA003,20250613,460,140385.0,98.0,,,,,,,,,,,
0PFBBDA7A003,20250613,460,257139.8,98.0,90.41,,,,,,,,,,
0PFBBDA8A001,20250613,460,230628.4,98.0,90.41,,,,,,,,,,
0PFBBDACA002,20250613,460,231424.0,91.0,90.58,,,,,,,,,,
0PFBBDACA003,20250613,460,249628.1,97.0,,,,,,,,,,,
0PFBBDAFA011,20250613,460,307947.8,97.0,91.0,,,,,,,,,,
0PFBBDAGA004,20250613,460,234355.8,98.0,90.1,,,,,,,,,,
0PFBBDAHA001,20250613,460,167847.2,98.0,,,,,,,,,,,
0PFBBDAJA014,20250613,460,160606.5,98.0,,,,,,,,,,,
0PFBBDAKA008,20250613,460,117989.3,98.0,,,,,,,,,,,
0PFBBDAKA010,20250613,460,302693.1,90.0,88.27,,,,,,,,,,
0PFBBDARA005,20250613,460,216383.2,98.0,90.75,,,,,,,,,,
0PFBBDARA006,20250613,460,279022.1,96.0,,,,,,,,,,,
0PFBBDARA008,20250613,460,293219.8,96.0,89.39,,,,,,,,,,
0PFBBDATA005,20250613,460,193304.9,98.0,91.78,,,,,,,,,,
0PFBBDATA011,20250613,460,16015.1,100.0,,,,,,,,,,,
0PFBBDB1A008,20250613,460,310487.4,96.0,85.71,,,,,,,,,,
0PFBBDB1A019,20250613,460,245503.2,97.0,89.01,,,,,,,,,,
0PFBBDB2A005,20250613,460,201786.3,98.0,,,,,,,,,,,
0PFBBDB2A016,20250613,460,115933.0,98.0,,,,,,,,,,,
0PFBBDB3A004,20250613,460,159593.0,98.0,93.16,,,,,,,,,,
0PFBBDB4A003,20250613,460,189731.0,98.0,92.04,,,,,,,,,,
0PFBBDB4A006,20250613,460,136276.7,98.0,,,,,,,,,,,
